"philosophers",2359,1426,1642,"philosophers",-39.55,-30.39
"dotty",1676,1522,0,"dotty",-9.19,0
"par-mnemonics",3658,3545,3526,"par-mnemonics",-3.09,-3.61
"gauss-mix",801,784,783,"gauss-mix",-2.12,-2.25
"als",2292,2257,2224,"als",-1.53,-2.97
"reactors",9078,9097,9793,"reactors",0.21,7.88
"mnemonics",4254,4280,4364,"mnemonics",0.61,2.59
"scala-doku",3724,3758,3845,"scala-doku",0.91,3.25
"naive-bayes",1271,1291,1338,"naive-bayes",1.57,5.27
"scrabble",245,250,260,"scrabble",2.04,0
"chi-square",670,684,567,"chi-square",2.09,-15.37
"scala-kmeans",199,205,203,"scala-kmeans",3.02,2.01
"rx-scrabble",159,165,163,"rx-scrabble",3.77,2.52
"dec-tree",752,785,775,"dec-tree",4.39,3.06
"finagle-http",3771,4024,3706,"finagle-http",6.71,-1.72
"scala-stm-bench7",863,921,877,"scala-stm-bench7",6.72,1.62
"neo4j-analytics",2663,2854,2803,"neo4j-analytics",7.17,5.26
"log-regression",987,1080,1056,"log-regression",9.42,6.99
"page-rank",3218,3575,3438,"page-rank",11.09,6.84
"akka-uct",8528,9615,9156,"akka-uct",12.75,7.36
"movie-lens",6340,7202,7015,"movie-lens",13.60,10.65
"future-genetic",1605,1938,1774,"future-genetic",20.75,10.53
"finagle-chirper",2571,3184,2757,"finagle-chirper",23.84,7.23
"db-shootout",3435,4884,4221,"db-shootout",42.18,22.88
"fj-kmeans",1619,2313,2361,"fj-kmeans",42.87,45.83
